2: None
3: None
5: None
7: None
11: None
13: None
17: None
19: None
23: None
29: 1 22 6 | 5 0 24 | 23 7 28
2897: 2287 636 49 | 684 25 2263 | 1 2311 660
2903: 1288 1641 49 | 1689 25 1264 | 1 1312 1665
2909: 529 2406 49 | 2454 25 505 | 1 553 2430
2917: 64 2879 49 | 10 25 40 | 1 88 2903
2927: 484 2469 49 | 2517 25 460 | 1 508 2493
2939: 1089 1876 49 | 1924 25 1065 | 1 1113 1900
2953: 1521 1458 49 | 1506 25 1497 | 1 1545 1482
2957: 15 11 49 | 59 25 2948 | 1 39 35
2963: 961 2028 49 | 2076 25 937 | 1 985 2052
2969: 400 2595 49 | 2643 25 376 | 1 424 2619
2971: 1802 1195 49 | 1243 25 1778 | 1 1826 1219
2999: 2401 624 49 | 672 25 2377 | 1 2425 648
3001: 2928 99 49 | 147 25 2904 | 1 2952 123
3011: 36 3001 49 | 38 25 12 | 1 60 14
3019: 2401 644 49 | 692 25 2377 | 1 2425 668
3023: 441 2608 49 | 2656 25 417 | 1 465 2632
3037: 729 2334 49 | 2382 25 705 | 1 753 2358
3041: 16 10 49 | 58 25 3033 | 1 40 34
3049: 36 3039 49 | 38 25 12 | 1 60 14
3061: 484 2603 49 | 2651 25 460 | 1 508 2627
3067: 100 2993 49 | 3041 25 76 | 1 124 3017
3079: 285 2820 49 | 2868 25 261 | 1 309 2844
3083: 4 22 49 | 70 25 3063 | 1 28 46
3089: 64 3051 49 | 10 25 40 | 1 88 3075
3109: 441 2694 49 | 2742 25 417 | 1 465 2718
3119: 1089 2056 49 | 2104 25 1065 | 1 1113 2080
3121: 484 2663 49 | 2711 25 460 | 1 508 2687
3137: 287 2876 49 | 2924 25 263 | 1 311 2900
3163: 256 2933 49 | 2981 25 232 | 1 280 2957
3167: 484 2709 49 | 2757 25 460 | 1 508 2733
3169: 2593 602 49 | 650 25 2569 | 1 2617 626
3181: 2304 903 49 | 951 25 2280 | 1 2328 927
3187: 484 2729 49 | 2777 25 460 | 1 508 2753
3191: 576 2641 49 | 2689 25 552 | 1 600 2665
3203: 1694 1535 49 | 1583 25 1670 | 1 1718 1559
3209: 2879 356 49 | 404 25 2855 | 1 2903 380
3217: 841 2402 49 | 2450 25 817 | 1 865 2426
3221: 1820 1427 49 | 1475 25 1796 | 1 1844 1451
3229: 2601 654 49 | 702 25 2577 | 1 2625 678
3251: 400 2877 49 | 2925 25 376 | 1 424 2901
3253: 2304 975 49 | 1023 25 2280 | 1 2328 999
3257: 2827 456 49 | 504 25 2803 | 1 2851 480
3259: 2809 476 49 | 524 25 2785 | 1 2833 500
3271: 1558 1739 49 | 1787 25 1534 | 1 1582 1763
3299: 289 3036 49 | 3084 25 265 | 1 313 3060
3301: 784 2543 49 | 2591 25 760 | 1 808 2567
3307: 687 2646 49 | 2694 25 663 | 1 711 2670
3313: 51 3288 49 | 23 25 27 | 1 75 3312
3319: 529 2816 49 | 2864 25 505 | 1 553 2840
3323: 1444 1905 49 | 1953 25 1420 | 1 1468 1929
3329: 441 2914 49 | 2962 25 417 | 1 465 2938
3331: 9 17 49 | 65 25 3316 | 1 33 41
3343: 900 2469 49 | 2517 25 876 | 1 924 2493
3347: 144 3229 49 | 3277 25 120 | 1 168 3253
3359: 256 3129 49 | 3177 25 232 | 1 280 3153
3361: 36 3351 49 | 38 25 12 | 1 60 14
3371: 100 3297 49 | 3345 25 76 | 1 124 3321
3373: 64 3335 49 | 10 25 40 | 1 88 3359
3389: 1089 2326 49 | 2374 25 1065 | 1 1113 2350
3391: 2025 1392 49 | 1440 25 2001 | 1 2049 1416
3407: 484 2949 49 | 2997 25 460 | 1 508 2973
3413: 1095 2344 49 | 2392 25 1071 | 1 1119 2368
3433: 2809 650 49 | 698 25 2785 | 1 2833 674
3449: 846 2629 49 | 2677 25 822 | 1 870 2653
